player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,lookup_name,lookup_full_name
172,P Negi,Left hand Bat,Slow Left arm Orthodox, ,Pawan Negi,p negi,pawan negi
12032,DPMD Jayawardene,Right hand Bat,Right arm Medium, ,Denagamage Proboth Mahela de Silva Jayawardene,dpmd jayawardene,denagamage proboth mahela de silva jayawardene
604,MG Johnson,Left hand Bat,Left arm Fast, ,Mitchell Guy Johnson,mg johnson,mitchell guy johnson
12738,RR Powar,Right hand Bat,Right arm Offbreak, ,Ramesh Rajaram Powar,rr powar,ramesh rajaram powar
14726,FY Fazal,Left hand Bat,Right arm Medium, ,Faiz Yakub Fazal,fy fazal,faiz yakub fazal
11951,M Muralitharan,Right hand Bat,Right arm Offbreak, ,Muthiah Muralidaran,m muralitharan,muthiah muralidaran
12465,DT Patil,Right hand Bat, ,Wicketkeeper,Devraj Thyagaraj Patil,dt patil,devraj thyagaraj patil
11953,JR Hopes,Right hand Bat,Right arm Medium, ,James Redfern Hopes,jr hopes,james redfern hopes
16862,CJ Ferguson,Right hand Bat,Right arm Medium, ,Callum James Ferguson,cj ferguson,callum james ferguson
14985,KAJ Roach,Right hand Bat,Right arm Fast medium, ,Kemar Andre Jamal Roach,kaj roach,kemar andre jamal roach
400,EJG Morgan,Left hand Bat,Right arm Medium,Occasional Wicketkeeper,Eoin Joseph Gerard Morgan,ejg morgan,eoin joseph gerard morgan
9225,AJ Hosein,Left hand Bat,Slow Left arm Orthodox, ,Akeal Jerome Hosein,aj hosein,akeal jerome hosein
3,TM Head,Left hand Bat,Right arm Offbreak,Wicketkeeper,Travis Michael Head,tm head,travis michael head
44025,Brijesh Sharma,Right hand Bat,Right arm Medium,,Brijesh Sharma,brijesh sharma,brijesh sharma
389,SS Iyer,Right hand Bat,"Right arm Offbreak, Legbreak Googly", ,Shreyas Santosh Iyer,ss iyer,shreyas santosh iyer
6550,TH David,Right hand Bat,Right arm Offbreak, ,Timothy Hays David,th david,timothy hays david
4119,RD Gaikwad,Right hand Bat,Right arm Offbreak, ,Ruturaj Dashrat Gaikwad,rd gaikwad,ruturaj dashrat gaikwad
43977,Abhinandan Singh,Right hand Bat,Right arm Medium fast,,Abhinandan Singh,abhinandan singh,abhinandan singh
8945,PD Salt,Right hand Bat,Right arm Offbreak,Wicketkeeper,Philip Dean Salt,pd salt,philip dean salt
3505,SE Rutherford,Left hand Bat,Right arm Fast medium, ,Sherfane Eviston Rutherford,se rutherford,sherfane eviston rutherford
7024,Shashank Singh,Right hand Bat,"Right arm Medium, Right arm Offbreak", ,Shashank Singh,shashank singh,shashank singh
6880,JM Sharma,Right hand Bat, ,Wicketkeeper,Jitesh Mohan Sharma,jm sharma,jitesh mohan sharma
5407,M Shahrukh Khan,Right hand Bat,Right arm Offbreak, ,Masood Shahrukh Khan,m shahrukh khan,masood shahrukh khan
2349,Abhishek Sharma,Left hand Bat,Slow Left arm Orthodox, ,Abhishek Sharma,abhishek sharma,abhishek sharma
11781,Aniket Verma,Right hand Bat,Right arm Medium fast,,Aniket Verma,aniket verma,aniket verma
613,Washington Sundar,Left hand Bat,Right arm Offbreak, ,Washington Sundar,washington sundar,washington sundar
6885,VG Arora,Right hand Bat,Right arm Fast medium, ,Vaibhav Gopal Arora,vg arora,vaibhav gopal arora
1409,KL Rahul,Right hand Bat, ,Wicketkeeper,Kannaur Lokesh Rahul,kl rahul,kannaur lokesh rahul
6033,GD Phillips,Right hand Bat,Right arm Offbreak,Wicketkeeper,Glenn Dominic Phillips,gd phillips,glenn dominic phillips
1386,M Markande,Right hand Bat,Legbreak, ,Mayank Markande,m markande,mayank markande
1580,Shubman Gill,Right hand Bat,Right arm Offbreak, ,Shubman Gill,shubman gill,shubman gill
438,JD Unadkat,Right hand Bat,Left arm Medium, ,Jaydev Dipakbhai Unadkat,jd unadkat,jaydev dipakbhai unadkat
4047,A Nortje,Right hand Bat,Right arm Fast, ,Anrich Arno Nortje,a nortje,anrich arno nortje
8383,C Green,Right hand Bat,Right arm Fast medium, ,Cameron Donald Green,c green,cameron donald green
43967,JA Duffy,Right hand Bat,Right arm Fast medium,,Jacob Andrew Duffy,ja duffy,jacob andrew duffy
44981,DV Malewar,Right hand Bat,Legbreak,,Danish Vishnu Malewar,dv malewar,danish vishnu malewar
44988,Krish Bhagat,Right hand Bat,Right arm Medium,,Krish Bhagat,krish bhagat,krish bhagat
2188,M Prasidh Krishna,Right hand Bat,Right arm Fast medium, ,Muralikrishna Prasidh Krishna,m prasidh krishna,muralikrishna prasidh krishna
44713,Auqib Nabi,Right hand Bat,Right arm Medium,,Auqib Nabi,auqib nabi,auqib nabi
44781,LG Pretorius,Left hand Bat,,Wicketkeeper,Lhuan-dre Gilbert Pretorius,lg pretorius,lhuan-dre gilbert pretorius
43964,DA Payne,Right hand Bat,Left arm Fast medium,,David Alan Payne,da payne,david alan payne
43990,B Muzarabani,Right hand Bat,Right arm Fast medium,,Blessing Muzarabani,b muzarabani,blessing muzarabani
43981,FH Allen,Right hand Bat,,,Finnley Hugh Allen,fh allen,finnley hugh allen
44082,Shivang Kumar,Right hand Bat,Left arm Wrist spin,,Shivang Kumar,shivang kumar,shivang kumar
44845,Mayank Rawat,Right hand Bat,Right arm Offbreak,,Mayank Ram Rawat,mayank rawat,mayank ram rawat
44008,Kartik Sharma,Right hand Bat,,Wicketkeeper Batter,Kartik Sharma,kartik sharma,kartik sharma
44703,Gurjapneet Singh,Right hand Bat,Left arm Medium fast,,Gurjapneet Singh,gurjapneet singh,gurjapneet singh
44724,GF Linde,Left hand Bat,Slow Left arm Orthodox,,George Fredrik Linde,gf linde,george fredrik linde
44041,C Connolly,Left hand Bat,Slow Left arm Orthodox,,Cooper Patrick Leonard Connolly,c connolly,cooper patrick leonard connolly
44932,Yash Raj Punja,Right hand Bat,Legbreak Googly,,Yash Raj Punja,yash raj punja,yash raj punja
44105,PR Veer,Left hand Bat,Slow Left arm Orthodox,,Prashant Ramendra Veer,pr veer,prashant ramendra veer
44001,AM Ghazanfar,Right hand Bat,"Right arm Offbreak, Legbreak",,AM Ghazanfar,am ghazanfar,am ghazanfar
44765,Sakib Hussain,Right hand Bat,Right arm Medium,,Sakib Hussain,sakib hussain,sakib hussain
9824,Nithish Kumar Reddy,Right hand Bat,Right arm Medium fast, ,Kaki Nitish Kumar Reddy,nithish kumar reddy,kaki nitish kumar reddy
43960,S Arora,Right hand Bat,,Wicketkeeper,Salil Arora,s arora,salil arora
43649,Harsh Dubey,Left hand Bat,Slow Left arm Orthodox,,Harsh Surendra Dubey,harsh dubey,harsh surendra dubey
44036,Ashok Sharma,Right hand Bat,Right arm Fast,,Ashok Sharma,ashok sharma,ashok sharma
44775,PP Hinge,Right hand Bat,Right arm Medium fast,,Praful Prakash Hinge,pp hinge,praful prakash hinge
8475,Suyash Sharma,Right hand Bat,Legbreak Googly, ,Suyash Sharma,suyash sharma,suyash sharma
45004,D Madushanka,Right hand Bat,Right arm Medium fast,,K Dasun Madusanka,d madushanka,k dasun madusanka
42566,V Suryavanshi,Left hand Bat,Slow Left arm Orthodox,,Vaibhav Suryavanshi,v suryavanshi,vaibhav suryavanshi
26,N Rana,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak", ,Nitish Rana,n rana,nitish rana
45986,SU Parakh,Left hand Bat,Legbreak,,Sahil Ulhas Parakh,su parakh,sahil ulhas parakh
