competition,season,team,player_name,status,primary_role,batting_role,bowling_role,matches_played,batting_innings,runs,balls_faced,fours,sixes,dismissals,batting_strike_rate,batting_average,bowling_innings,balls_bowled,runs_conceded,wickets,bowling_economy,bowling_strike_rate,dot_balls,notes,source_note
IPL,2026,Chennai Super Kings,Nathan Ellis,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Noor Ahmad,Verified from Kaggle 2026 delivery data,Bowler,,,14,4,11,23,0,1,3,47.83,3.67,14,306,425,13,8.33,23.54,17,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Prashant Veer,Verified from Kaggle 2026 delivery data,All Rounder,,,5,5,91,67,10,3,2,135.82,45.5,1,12,25,0,12.5,,24,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Rahul Chahar,Verified from Kaggle 2026 delivery data,Bowler,,,1,0,0,0,0,0,0,,,1,24,46,0,11.5,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Ramakrishna Ghosh,Verified from Kaggle 2026 delivery data,All Rounder,,,1,0,0,0,0,0,0,,,1,18,24,1,8.0,18.0,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Ruturaj Gaikwad,Verified from Kaggle 2026 delivery data,Batter,,,14,14,337,273,29,12,12,123.44,28.08,0,0,0,0,,,104,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Sanju Samson,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,14,14,475,287,53,24,11,165.51,43.18,0,0,0,0,,,99,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Sarfaraz Khan,Verified from Kaggle 2026 delivery data,Batter,,,7,7,161,95,23,6,7,169.47,23.0,0,0,0,0,,,37,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Shivam Dubey,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Shreyas Gopal,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Spencer Johnson,Verified from Kaggle 2026 delivery data,Bowler,,,3,1,0,1,0,0,1,0.0,0.0,3,66,108,2,9.82,33.0,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Urvil Patel,Verified from Kaggle 2026 delivery data,Batter,,,7,7,129,64,6,14,7,201.56,18.43,0,0,0,0,,,27,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Chennai Super Kings,Zak Foulkes,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Abhishek Porel,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Ajay Mandal,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Ashutosh Sharma,Verified from Kaggle 2026 delivery data,All Rounder,,,8,8,171,94,15,12,5,181.91,34.2,0,0,0,0,,,30,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Auqib Nabi,Verified from Kaggle 2026 delivery data,Bowler,,,5,2,14,4,2,1,1,350.0,14.0,5,78,149,0,11.46,,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Axar Patel,Verified from Kaggle 2026 delivery data,All Rounder,,,13,11,173,132,16,6,9,131.06,19.22,13,264,356,11,8.09,24.0,44,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Ben Duckett,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,David Miller,Verified from Kaggle 2026 delivery data,Batter,,,10,10,211,137,15,14,6,154.01,35.17,0,0,0,0,,,45,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Dushmantha Chameera,Verified from Kaggle 2026 delivery data,Bowler,,,1,1,0,3,0,0,0,0.0,,1,12,18,0,9.0,,3,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,KL Rahul,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,1,1,0,1,0,0,0,0.0,,0,0,0,0,,,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Karun Nair,Verified from Kaggle 2026 delivery data,Batter,,,2,2,18,18,3,0,2,100.0,9.0,0,0,0,0,,,10,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Kuldeep Yadav,Verified from Kaggle 2026 delivery data,Bowler,,,11,4,9,21,0,0,2,42.86,4.5,11,222,380,10,10.27,22.2,12,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Kyle Jamieson,Verified from Kaggle 2026 delivery data,Bowler,,,2,1,12,13,1,1,1,92.31,12.0,2,42,90,2,12.86,21.0,9,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Lungi Ngidi,Verified from Kaggle 2026 delivery data,Bowler,,,11,3,4,7,0,0,2,57.14,2.0,11,248,340,13,8.23,19.08,3,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Madhav Tiwari,Verified from Kaggle 2026 delivery data,All Rounder,,,3,1,18,8,2,1,0,225.0,,3,60,86,4,8.6,15.0,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Mitchell Starc,Verified from Kaggle 2026 delivery data,Bowler,,,6,1,0,2,0,0,1,0.0,0.0,6,131,217,13,9.94,10.08,2,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Mukesh Kumar,Verified from Kaggle 2026 delivery data,Bowler,,,10,0,0,0,0,0,0,,,10,188,352,8,11.23,23.5,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Nitish Rana,Verified from Kaggle 2026 delivery data,Batter,,,9,9,225,149,27,10,9,151.01,25.0,1,24,55,1,13.75,24.0,60,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Pathum Nissanka,Verified from Kaggle 2026 delivery data,Batter,,,10,10,277,175,33,12,9,158.29,30.78,0,0,0,0,,,65,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Prithvi Shaw,Verified from Kaggle 2026 delivery data,Batter,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Sahil Parakh,Verified from Kaggle 2026 delivery data,Batter,,,4,4,46,33,5,2,4,139.39,11.5,0,0,0,0,,,14,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Sameer Rizvi,Verified from Kaggle 2026 delivery data,All Rounder,,,9,9,252,171,15,17,7,147.37,36.0,0,0,0,0,,,62,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,T Natrajan,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Tripurana Vijay,Verified from Kaggle 2026 delivery data,Bowler,,,1,0,0,0,0,0,0,,,1,12,29,0,14.5,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Tristan Stubbs,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,13,13,275,216,18,9,6,127.31,45.83,0,0,0,0,,,62,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Delhi Capitals,Vipraj Nigam,Verified from Kaggle 2026 delivery data,Bowler,,,5,2,15,10,2,0,1,150.0,15.0,5,54,113,2,12.56,27.0,2,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Anuj Rawat,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Arshad Khan,Verified from Kaggle 2026 delivery data,Bowler,,,6,2,23,11,1,2,1,209.09,23.0,6,104,171,8,9.87,13.0,2,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Ashok Sharma,Verified from Kaggle 2026 delivery data,Bowler,,,6,2,1,4,0,0,0,25.0,,6,126,227,6,10.81,21.0,3,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Glenn Phillips,Verified from Kaggle 2026 delivery data,All Rounder,,,5,5,67,54,4,2,4,124.07,16.75,0,0,0,0,,,14,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Gurnoor Brar,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Ishant Sharma,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Jason Holder,Verified from Kaggle 2026 delivery data,All Rounder,,,11,7,65,52,3,3,5,125.0,13.0,11,230,290,17,7.57,13.53,18,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Jayant Yadav,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Jos Buttler,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,17,17,526,345,51,26,14,152.46,37.57,0,0,0,0,,,119,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Kagiso Rabada,Verified from Kaggle 2026 delivery data,Bowler,,,17,4,47,38,5,2,2,123.68,23.5,17,388,625,29,9.66,13.38,17,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Kulwant Khejroliya,Verified from Kaggle 2026 delivery data,Bowler,,,1,0,0,0,0,0,0,,,1,12,31,0,15.5,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Kumar Kushagra,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,1,1,18,14,3,0,1,128.57,18.0,0,0,0,0,,,6,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Luke Wood,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Manav Suthar,Verified from Kaggle 2026 delivery data,All Rounder,,,3,0,0,0,0,0,0,,,3,36,68,2,11.33,18.0,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Mohammed Siraj,Verified from Kaggle 2026 delivery data,Bowler,,,17,2,5,16,1,0,2,31.25,2.5,17,372,556,20,8.97,18.6,14,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Nishant Sindhu,Verified from Kaggle 2026 delivery data,All Rounder,,,5,5,63,50,7,2,5,126.0,12.6,0,0,0,0,,,22,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Prasidh Krishna,Verified from Kaggle 2026 delivery data,Bowler,,,12,1,6,7,1,0,0,85.71,,12,234,407,18,10.44,13.0,4,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Prithvi Raj,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Rahul Tewatia,Verified from Kaggle 2026 delivery data,All Rounder,,,15,15,190,132,20,8,7,143.94,27.14,0,0,0,0,,,47,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Rashid Khan,Verified from Kaggle 2026 delivery data,All Rounder,,,17,6,50,41,4,2,4,121.95,12.5,17,341,508,21,8.94,16.24,17,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Sai Kishore,Verified from Kaggle 2026 delivery data,Bowler,,,2,0,0,0,0,0,0,,,2,24,46,1,11.5,24.0,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Sai Sudharsan,Verified from Kaggle 2026 delivery data,Batter,,,17,17,722,458,75,30,16,157.64,45.12,0,0,0,0,,,143,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Shahrukh Khan,Verified from Kaggle 2026 delivery data,Batter,,,5,5,43,33,3,2,3,130.3,14.33,0,0,0,0,,,11,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Shubman Gill,Verified from Kaggle 2026 delivery data,Batter,,,16,16,732,449,74,33,15,163.03,48.8,0,0,0,0,,,139,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Tom Banton,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Gujarat Titans,Washington Sundar,Verified from Kaggle 2026 delivery data,All Rounder,,,16,16,377,251,40,12,10,150.2,37.7,5,55,84,1,9.16,55.0,70,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Ajinkya Rahane,Verified from Kaggle 2026 delivery data,Batter,,,14,14,335,248,25,18,12,135.08,27.92,0,0,0,0,,,91,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Akash Deep,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Angkrish Raghuvanshi,Verified from Kaggle 2026 delivery data,Batter,,,12,12,422,287,40,19,8,147.04,52.75,0,0,0,0,,,97,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Anukul Roy,Verified from Kaggle 2026 delivery data,All Rounder,,,12,7,52,39,3,2,4,133.33,13.0,12,163,260,8,9.57,20.38,12,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Blessing Muzarabani,Verified from Kaggle 2026 delivery data,Bowler,,,2,0,0,0,0,0,0,,,2,42,75,5,10.71,8.4,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Cameron Green,Verified from Kaggle 2026 delivery data,All Rounder,,,14,14,322,221,22,17,8,145.7,40.25,10,132,232,7,10.55,18.86,68,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Daksh Kamra,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Finn Allen,Verified from Kaggle 2026 delivery data,Batter,,,11,11,349,163,33,28,10,214.11,34.9,0,0,0,0,,,58,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Harshit Rana,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Kartik Tyagi,Verified from Kaggle 2026 delivery data,Bowler,,,13,3,11,10,1,1,3,110.0,3.67,13,306,498,19,9.76,16.11,7,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Manish Pandey,Verified from Kaggle 2026 delivery data,Batter,,,2,2,70,49,8,2,2,142.86,35.0,0,0,0,0,,,15,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Matheesha Pathirana,Verified from Kaggle 2026 delivery data,Bowler,,,1,0,0,0,0,0,0,,,1,8,9,0,6.75,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Mustafizur Rahman,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Navdeep Saini,Verified from Kaggle 2026 delivery data,Bowler,,,1,0,0,0,0,0,0,,,1,18,37,0,12.33,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Prashant Solanki,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Rachin Ravindra,Verified from Kaggle 2026 delivery data,All Rounder,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Rahul Tripathi,Verified from Kaggle 2026 delivery data,Batter,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Ramandeep Singh,Verified from Kaggle 2026 delivery data,Batter,,,6,6,82,68,8,2,5,120.59,16.4,2,16,30,1,11.25,16.0,24,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Rinku Singh,Verified from Kaggle 2026 delivery data,Batter,,,11,12,299,199,28,11,5,150.25,59.8,0,0,0,0,,,56,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Rovman Powell,Verified from Kaggle 2026 delivery data,Batter,,,7,7,191,142,16,10,4,134.51,47.75,0,0,0,0,,,53,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Sarthak Ranjan,Verified from Kaggle 2026 delivery data,Batter,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Saurabh Dubey,Verified from Kaggle 2026 delivery data,Bowler,,,4,1,4,2,1,0,0,200.0,,4,77,100,5,7.79,15.4,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Sunil Narine,Verified from Kaggle 2026 delivery data,All Rounder,,,13,4,40,32,2,4,3,125.0,13.33,14,309,340,17,6.6,18.18,19,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Tejasvi Dahiya,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,2,2,12,15,2,0,2,80.0,6.0,0,0,0,0,,,9,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Tim Seifert,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,3,3,19,18,2,1,3,105.56,6.33,0,0,0,0,,,10,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Umran Malik,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Vaibhav Arora,Verified from Kaggle 2026 delivery data,Bowler,,,10,2,1,3,0,0,0,33.33,,10,228,389,11,10.24,20.73,2,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Kolkata Knight Riders,Varun Chakravarthy,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Abdul Samad,Verified from Kaggle 2026 delivery data,Batter,,,7,7,116,88,10,5,6,131.82,19.33,1,1,6,0,36.0,,34,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Aiden Markram,Verified from Kaggle 2026 delivery data,Batter,,,11,12,231,168,20,11,9,137.5,25.67,5,36,82,0,13.67,,56,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Akash Singh,Verified from Kaggle 2026 delivery data,Bowler,,,2,0,0,0,0,0,0,,,2,42,75,4,10.71,10.5,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Akshat Raghuvanshi,Verified from Kaggle 2026 delivery data,Batter,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Anrich Nortje,Verified from Kaggle 2026 delivery data,Bowler,,,1,1,0,1,0,0,1,0.0,0.0,1,24,35,0,8.75,,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Arjun Tendulkar,Verified from Kaggle 2026 delivery data,Bowler,,,1,1,5,5,0,0,0,100.0,,1,24,36,1,9.0,24.0,1,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Arshin Kulkarni,Verified from Kaggle 2026 delivery data,All Rounder,,,2,2,17,25,1,0,2,68.0,8.5,0,0,0,0,,,14,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Avesh Khan,Verified from Kaggle 2026 delivery data,Bowler,,,7,3,6,6,1,0,1,100.0,6.0,7,148,274,6,11.11,24.67,3,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Ayush Badoni,Verified from Kaggle 2026 delivery data,Batter,,,10,10,215,141,23,9,10,152.48,21.5,1,6,14,0,14.0,,50,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Digvesh Rathi,Verified from Kaggle 2026 delivery data,Bowler,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Himmat Singh,Verified from Kaggle 2026 delivery data,Batter,,,5,5,92,69,5,5,3,133.33,30.67,0,0,0,0,,,21,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Josh Inglis,Verified from Kaggle 2026 delivery data,Wicket Keeper,,,5,5,262,143,31,12,5,183.22,52.4,0,0,0,0,,,42,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Manimaran Siddharth,Verified from Kaggle 2026 delivery data,Bowler,,,4,0,0,0,0,0,0,,,4,90,144,6,9.6,15.0,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Matthew Breetzke,Verified from Kaggle 2026 delivery data,Batter,,,0,0,0,0,0,0,0,,,0,0,0,0,,,0,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Mayank Yadav,Verified from Kaggle 2026 delivery data,Bowler,,,4,1,5,5,1,0,1,100.0,5.0,4,96,181,0,11.31,,3,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Mitchell Marsh,Verified from Kaggle 2026 delivery data,All Rounder,,,13,13,563,345,51,36,12,163.19,46.92,0,0,0,0,,,124,,Derived from Kaggle IPL 2026 deliveries and squads data
IPL,2026,Lucknow Super Giants,Mohammed Shami,Verified from Kaggle 2026 delivery data,Bowler,,,13,7,31,22,2,3,5,140.91,6.2,13,306,457,12,8.96,25.5,12,,Derived from Kaggle IPL 2026 deliveries and squads data
